uri,label_timestamp,toxicity_prob,toxicity_tier
2061477942748725714,2026_06_01-18:13:28,0.01419965,low
2061477932195774666,2026_06_01-18:13:28,0.008105109,low
2061477880975036574,2026_06_01-18:13:28,0.013068704,low
2061477754454131126,2026_06_01-18:13:28,0.007508222,low
2061477699177390085,2026_06_01-18:13:28,0.007508222,low
2061477697402888689,2026_06_01-18:13:28,0.007508222,low
2061477675144028367,2026_06_01-18:13:28,0.008356431,low
2061477651131330710,2026_06_01-18:13:28,0.014011159,low
2061477646731493524,2026_06_01-18:13:28,0.023199737,low
2061477631011271090,2026_06_01-18:13:28,0.009990019,low
2061477601760469165,2026_06_01-18:13:28,0.0072254855,low
2061477496273482192,2026_06_01-18:13:28,0.16591948,medium
2061477488312881622,2026_06_01-18:13:28,0.008921904,low
2061477409757843497,2026_06_01-18:13:28,0.0077281278,low
2061474665139147153,2026_06_01-18:13:28,0.013885498,low
2061473931371139137,2026_06_01-18:13:28,0.028620722,low
2061471806045687921,2026_06_01-18:13:28,0.07845957,low
2061466223284466047,2026_06_01-18:13:35,0.038991302,low
2061465581363044508,2026_06_01-18:13:35,0.43720075,medium
2061462941266817241,2026_06_01-18:13:35,0.005717558,low
2061461226220060898,2026_06_01-18:13:35,0.021785567,low
2061460466249957581,2026_06_01-18:13:35,0.12520397,medium
2061458686933929996,2026_06_01-18:13:35,0.014136819,low
2061457724374687787,2026_06_01-18:13:35,0.7252971,high
2061455797255614910,2026_06_01-18:13:35,0.010743983,low
2061455797154992621,2026_06_01-18:13:35,0.009550206,low
2061453915321663996,2026_06_01-18:13:35,0.11067997,medium
2061450374792532446,2026_06_01-18:13:35,0.112333365,medium
2061449947849892023,2026_06_01-18:13:35,0.034041706,low
2061449440691700084,2026_06_01-18:13:35,0.057005897,low
2061449083307622568,2026_06_01-18:13:35,0.17631748,medium
2061448264969281903,2026_06_01-18:13:35,0.10739898,medium
2061437651396567540,2026_06_01-18:13:35,0.009110395,low
2061432420683977089,2026_06_01-18:13:35,0.019100413,low
2061470025140056188,2026_06_01-18:13:35,0.023906821,low
2061461987247182024,2026_06_01-18:13:35,0.025320992,low
2061460484277387760,2026_06_01-18:13:35,0.017215505,low
2061455656423505974,2026_06_01-18:13:35,0.024731753,low
2061454314158301265,2026_06_01-18:13:35,0.040183347,low
2061453539029958733,2026_06_01-18:13:35,0.013257195,low
2061441762640420963,2026_06_01-18:13:35,0.0061573703,low
2061433025183797548,2026_06_01-18:13:35,0.061444655,low
2061432778659381721,2026_06_01-18:13:35,0.11336674,medium
2061423960026120541,2026_06_01-18:13:35,0.038519915,low
2061423370441277878,2026_06_01-18:13:35,0.026499467,low
2061421127327453637,2026_06_01-18:13:35,0.37751234,medium
2061417509056544961,2026_06_01-18:13:35,0.01438814,low
2061412827173110221,2026_06_01-18:13:35,0.71760553,high
2061403585003340157,2026_06_01-18:13:35,0.013697007,low
2061400459638976797,2026_06_01-18:13:35,0.009550206,low
2061398279808499802,2026_06_01-18:13:35,0.01608456,low
2061397344977826105,2026_06_01-18:13:35,0.024260364,low
2061477888940229024,2026_06_01-18:13:35,0.0055918973,low
2061465749898797468,2026_06_01-18:13:35,0.01847211,low
2061465565575749636,2026_06_01-18:13:35,0.005309161,low
2061462778838134851,2026_06_01-18:13:35,0.008796243,low
2061460392304370079,2026_06_01-18:13:35,0.011120965,low
2061456671415865615,2026_06_01-18:13:35,0.013257195,low
2061451770438590481,2026_06_01-18:13:35,0.007853788,low
2061448464249024840,2026_06_01-18:13:35,0.012063419,low
2061448044852531392,2026_06_01-18:13:35,0.021667719,low
2061447756539994444,2026_06_01-18:13:35,0.005748973,low
2061442755134627889,2026_06_01-18:13:35,0.0109324735,low
2061441549699834134,2026_06_01-18:13:35,0.009424546,low
2061475420445241853,2026_06_01-18:13:35,0.019603057,low
2061462709095330190,2026_06_01-18:13:35,0.0054662367,low
2061439817481896014,2026_06_01-18:13:35,0.003895479,low
2061421518056284364,2026_06_01-18:13:35,0.008010864,low
2061397780505964576,2026_06_01-18:13:35,0.06381883,low
2061382200050975210,2026_06_01-18:13:35,0.011309455,low
2061377063567688185,2026_06_01-18:13:35,0.009236055,low
2061376820617036282,2026_06_01-18:13:35,0.030977672,low
2061375856287850761,2026_06_01-18:13:35,0.016838523,low
2061368976253301167,2026_06_01-18:13:35,0.009298885,low
2061368169411834147,2026_06_01-18:13:35,0.015896067,low
2061366679288816126,2026_06_01-18:13:35,0.007979449,low
2061357117794099485,2026_06_01-18:13:35,0.0143253105,low
2061353185923797001,2026_06_01-18:13:35,0.009550206,low
2061349265243533686,2026_06_01-18:13:35,0.0055604824,low
2061346384066855085,2026_06_01-18:13:35,0.005906049,low
2061266484882751573,2026_06_01-18:13:35,0.008544922,low
2061233707084886408,2026_06_01-18:13:43,0.017718147,low
2061008532145688758,2026_06_01-18:13:43,0.036162965,low
2060851245263487290,2026_06_01-18:13:43,0.0070684096,low
2060837465779241335,2026_06_01-18:13:43,0.011874928,low
2060833139283341390,2026_06_01-18:13:43,0.01633588,low
2060810009760649222,2026_06_01-18:13:43,0.053295042,low
2060789840841412994,2026_06_01-18:13:43,0.75208336,high
2060781510719049979,2026_06_01-18:13:43,0.0068485034,low
2060750306338640043,2026_06_01-18:13:43,0.01017851,low
2060724003191312481,2026_06_01-18:13:43,0.017089844,low
2060716763747143833,2026_06_01-18:13:43,0.01646154,low
2060677600851202054,2026_06_01-18:13:43,0.0070684096,low
2060655212033937558,2026_06_01-18:13:43,0.009298885,low
2060533883922448386,2026_06_01-18:13:43,0.0076652975,low
2060478129764741283,2026_06_01-18:13:43,0.018849092,low
2061477629312516163,2026_06_01-18:13:43,0.104361884,medium
2061473683810746531,2026_06_01-18:13:43,0.023671126,low
2061471565439451569,2026_06_01-18:13:43,0.2853768,medium
2061462298955563319,2026_06_01-18:13:43,0.03015274,low
2061461858490667104,2026_06_01-18:13:43,0.0069113337,low
2061457119572807948,2026_06_01-18:13:43,0.028385026,low
2061456749497045052,2026_06_01-18:13:43,0.01847211,low
2061452847384801382,2026_06_01-18:13:43,0.031449065,low
2061450223457853604,2026_06_01-18:13:43,0.0035813276,low
2061448221717586277,2026_06_01-18:13:43,0.008796243,low
2061440172126867487,2026_06_01-18:13:43,0.0074453913,low
2061431383697117392,2026_06_01-18:13:43,0.0065657673,low
2061428370249068726,2026_06_01-18:13:43,0.009361716,low
2061427872783589498,2026_06_01-18:13:43,0.014765122,low
2061477472844022166,2026_06_01-18:13:43,0.004900764,low
2061477455500853501,2026_06_01-18:13:43,0.004900764,low
2061476160412746049,2026_06_01-18:13:43,0.0066600125,low
2061474854692397160,2026_06_01-18:13:43,0.005686143,low
2061473404583026741,2026_06_01-18:13:43,0.0072254855,low
